#
# Title: Swish 123 Nummer
# Author: Christopher Isene <christopher.isene@gmail.com>
# Date: 2024-11-15-rev-210320
# Source: https://github.com/cisene/swish-123/text/swish-123-datasource.csv
#
# Legend: Swish-nummer, OrgNr, OrgNamn, Länk, Kategorier, Kommentar
#
"entry","orgNumber","orgName","web","categories","comment"
"1230000414","889200-0053","Alnö IF","https://www.svenskalag.se/alnoif","fotbollsklubb,idrottsförening","P18/Fotbollslek"
"1230002634","844001-1370","Landskrona Shotokan Academy","https://www.landskronakarate.se/","idrottsförening,kampsportsförening,karateklubb",""
"1230003194","556323-9663","Kungälv Kode Golfklubb","https://kkgk.se/","golfbana,golfklubb",""
"1230003657","581020-XXXX","Bee Thalin, layout & foto","https://beethalin.se/","fotograf,porträttfotografi",""
"1230003889","819001-2586","Friskis & Svettis Trosa","https://www.friskissvettis.se/trosa","friskvård,hälsa,idrottsförening",""
"1230004192","849400-7506","Särökometernas HK","https://www.sarokometerna.se/","handbollsklubb,idrottsförening",""
"1230004234","802419-7405","Sörmons Hundklubb","https://www.sormonshundklubb.se/","hundklubb,hundsport",""
"1230004275","889601-3219","Nolaskogs Biståndscenter, NBC","https://www.nbcgottne.se/","hjälporganisation","Hjälpverksamhet"
"1230004283","802494-9417","Uddevalla Rugby","https://www.svenskalag.se/uddevallarugby","idrottsförening,rugbyklubb",""
"1230004580","883201-5633","Leksand Jujutsuklubb","https://www.svenskalag.se/leksandsjujutsuklubb","idrottsförening,jujutsuklubb,kampsportsförening",""
"1230004648","802002-8711","Svenska Röda Korset","https://www.rodakorset.se/","donation,godkänd gåvomottagare,hjälporganisation",""
"1230004655","802002-8711","Svenska Röda Korset","https://www.rodakorset.se/","donation,godkänd gåvomottagare,hjälporganisation",""
"1230004663","802002-8711","Svenska Röda Korset","https://www.rodakorset.se/","donation,godkänd gåvomottagare,hjälporganisation",""
"1230004697","802450-2349","Tango Sol","https://www.tangosol.se/","danskurser,dansundervisning",""
"1230004713","813600-1461","IFK Lidingö Skid- och orienteringsklubb","https://www.ifklidingo.se/","idrottsförening,orienteringsklubb,skidlöparklubb",""
"1230004945","849000-3574","Långasands Idrottsförening","http://www.langasandsif.com/","idrottsförening",""
"1230005358","844000-1934","Tågarps Allmänna IK","https://www.svenskalag.se/taik","fotbollsklubb,idrottsförening",""
"1230005710","556909-2140","Crossfit Eken / Ekens Sport och Media AB","https://www.crossfiteken.se/","crossfitklubb,idrottsförening,träning",""
"1230005819","556975-4129","MatMattes Catering AB","https://www.matmattes.se/","catering,restaurant",""
"1230007062","252004-1779","Bokenäsets Församling","https://www.svenskakyrkan.se/bokenaset","religion","Kollekt"
"1230007344","530728-XXXX","SkrattYoga / HT Helhetstanken","https://skrattyoga.se/","yoga",""
"1230007617","252003-1325","Uddevalla Pastorat","https://www.svenskakyrkan.se/uddevalla","religion","Uddevalla fikaavgifter"
"1230007625","252003-0095","Märsta Pastorat","https://www.svenskakyrkan.se/marsta","religion","Övrigt Arlanda kapell"
"1230007922","802508-1186","Riksföreningen för SLE","https://sle.reumatiker.se/","intresseförening,patientförening,reumatism",""
"1230008235","252002-2522","Floda Församling","https://www.svenskakyrkan.se/gagnef/floda","religion","Kollekt"
"1230008714","894701-5239","Neuroförbundet Skellefteå","https://neuro.se/skelleftea","förbund",""
"1230008722","802489-0207","Örebro Syrianska IF Ungdom","https://www.laget.se/OSIF/","fotbollsklubb,idrottsförening",""
"1230008797","556943-2056","Apelviksstrand","https://www.apelvikstrand.se/","logi",""
"1230008854","802000-2336","Kungliga Automobil Klubben, KAK","https://kak.se/","ideell förening,intresseförening,motorklubb",""
"1230008912","802418-8313","Väse Framtid","https://www.vaseframtid.se/","hembygdsförening,intresseförening",""
"1230009019","556800-6893","Ättekulla lunchen / Fortuna Strandkrog / Fortuna by the Sea AB","https://fortunastrandkrog.se/","catering,restaurant",""
"1230009035","556766-1193","Svenska Spikmattan AB","https://spikmattan.com/","försäljning,utrustning",""
"1230009050","898801-4737","Råneå BK","https://www.laget.se/RaneaBK/","brottningsklubb,idrottsförening",""
"1230009217","252002-8206","Vår Frus Katolska Församling i Täby","https://www.varfrukyrkan.se/","religion",""
"1230009274","825000-3731","Norrköpings Segelsällskap","https://nss.nu/","segelklubb,segelsällskap",""
"1230009357","873200-5551","Alsters Sockens Hembygdsförening","https://www.hembygd.se/alster","hembygdsförening",""
"1230009381","822001-0626","Linköpings MS - Bilsport","https://www.svenskalag.se/linkopingsmotorsallskap","motorsport",""
"1230009563","802414-2492","Väddöbygden Ideell Förening","https://vaddobygden.se/","intresseförening",""
"1230009985","848000-7007","Sövdeborgs Jaktskytteklubb","https://www.svenskalag.se/sovdeborgsjsk","jaktskytteklubb,skytteklubb",""
"1230013300","990226-XXXX","Dina Grundberg","https://www.dinagrundberg.com/","musik,sång",""
"1230013367","817606-5749","Västanfors IF Fotbollsklubb","https://www.laget.se/VastanforsFotboll/","fotbollsklubb,idrottsförening",""
"1230013979","802465-1252","Skapande Broderi Stockholm","https://www.skapandebroderi.se/","broderi,intresseförening,textil",""
"1230014209","252004-1720","Ängelholms Församling","https://www.svenskakyrkan.se/angelholm","religion,ukraina","Ukraina, Zaporizjzja"
"1230017087","898500-6397","Norrbottens Motorsällskap, NMS Boden","https://nmsboden.se/","motorklubb,motorsport",""
"1230017251","769627-9244","Golf Store Group","https://www.golfstore.se/","försäljning,golfutrustning",""
"1230017442","813200-3461","Bro-Håbo Brukshundklubb","https://www.bhbk.se/","brukshundklubb,hundsport",""
"1230017756","887500-9956","Rogsta Hembygdsförening","https://www.hembygd.se/rogsta","hembygdsförening",""
"1230017822","802012-5111","Riksorganisationen för kvinnojourer och tjejjourer i Sverige, ROKS","https://roks.se/","donation,kvinnojour,riksorganisation",""
"1230017848","866000-1028","IF Weimer Lyrestad","https://www.ifweimerlyrestad.se/","bordtennisklubb,fotbollsklubb,idrottsförening",""
"1230018002","854600-4808","Hedekas Idrottsförening","https://www.hedekasif.se/","fotbollsklubb,idrottsförening",""
"1230018176","817605-5336","Nyköpings BIS Friidrott","https://www.svenskalag.se/nbis-friidrott","friidrottsförening,idrottsförening",""
"1230018192","817607-0699","Friskis & Svettis Knivsta","https://www.friskissvettis.se/knivsta","friskvård,hälsa,idrottsförening",""
"1230018465","802431-7219","Föreningen för M/S Moa","https://www.msmoa.se/","intresseförening",""
"1230018549","252002-8982","Judiska Församlingen Stockholm","https://jfst.se/","religion",""
"1230018671","868400-0733","Arentorp Helås FK","https://www.svenskalag.se/arentorphelasfk","fotbollsklubb,idrottsförening",""
"1230018804","802473-8463","Rebeckaloge 116 Charlotta Taube","https://oddfellow.se/hitta/institution?inst=r116","ordensällskap",""
"1230018820","802458-2218","IBF Horsby","https://www.ibfhorsby.se/","idrottsförening,innebandyklubb",""
"1230019513","839400-9545","Stiftelsen Båstadsfontänen","https://www.fhb.nu/","psykisk hälsa,stiftelse",""
"1230019521","212000-0498","Aneby Bibliotek / Aneby Kommun","https://www.aneby.se/sidor/kultur-fritid-och-turism/biblioteket.html","bibliotek,kultur",""
"1230020289","802522-4927","Föreningen Gagnefs Bio","https://gagnefsbio.se/","biograf,förening",""
"1230020644","894001-6606","Ersmarks IK","https://www.eik.se/","fotbollsklubb,idrottsförening","F13"
"1230021444","802526-7868","Team Albert MTB","https://teamalbertmtb.com/","cykelklubb,idrottsförening,mountainbikeklubb",""
"1230027326","802543-4948","Hälsinglands Sportklubb","https://www.svenskalag.se/halsinglandssportklubb","fotbollsklubb,idrottsförening,skidlöparklubb",""
"1230033696","878500-3594","Köpings Golfklubb","https://kopingsgk.nu/","golfbana,golfklubb",""
"1230036673","559226-5291","NN Golf AB","https://www.nngolf.se/","golfcoach,utbildning",""
"1230037317","559203-6916","Private Training Online, PTO / PTO Group AB","https://privatetrainingonline.se/","träning",""
"1230037432","802525-7513","Hymerhusbilsklubb","https://hymerhusbilsklubb.se/","husbilsklubb,märkesklubb",""
"1230038042","802521-2674","Terminologifrämjandet","https://terminologiframjandet.se/","intresseförening,kulturförening,språkgranskning",""
"1230038356","802016-9176","Giraffernas Vänner","https://giraffernasvanner.se/","event,konferens,mötesrum",""
"1230038521","802000-5743","City Church International / City Church Stockholm","https://cks.se/","religion",""
"1230038679","802418-3124","Norrköpings Sportdansare, NOSD","https://www.nosd.se/","danssport",""
"1230039651","802530-9488","Enköpings Padel Team","https://www.svenskalag.se/enkopingspadelteam","idrottsförening,padelklubb",""
"1230039933","802474-8074","Norra Gotlands Brukshundsklubb","https://ngbk.org/","brukshundklubb,hundsport",""
"1230040097","620526-XXXX","LifeTV Sverige / Hillevi Sjögren","https://lifetv.nu/","lokaltelevision,spiritualism",""
"1230040279","838202-3151","Östermalmskyrkans Församling","https://www.ostermalmskyrkan.nu/","religion","Missionskassa"
"1230040311","802513-8861","PRO Lindesberg","https://pro.se/distrikt/distrikt-orebro-lan/samorganisationer/samradsgrupp-lindesberg.html","pensionärsklubb",""
"1230040352","559419-7963","Vomitory","https://www.vomitory.net/","kläder,musik",""
"1230040691","660915-XXXX","Nordebros Trädgård / Kent Haglund","https://nordebrostradgard.weebly.com/","trädgårdsodling,trädgårdsplanering",""
"1230040899","802006-1688","Frälsningsarmén","https://www.fralsningsarmen.se/norrkoping/","godkänd gåvomottagare,religion","Musikkåren Norrköping"
"1230041079","252003-8874","Södra Ölands Pastorat","https://www.svenskakyrkan.se/sodraoland","religion","Resmo kyrka"
"1230041285","802534-5938","Team Rynkeby","https://www.team-rynkeby.se/","cancerforskning,forskning,hjärnforskning","Göteborg, vallhamraskolan"
"1230042333","802544-4293","Floda Nova Padel Club","https://www.svenskalag.se/flodanovapadelclub","idrottsförening,padelklubb",""
"1230043406","802542-5979","Föreningen Interkultur i Lund","https://www.interkultur.nu/","intresseförening,kulturförening","Anatolia - Turkisk sektion"
"1230043505","556574-4025","Tierp Arena","https://tierparena.com/","motorsportarena,sportarena",""
"1230045096","802532-8033","Team Rynkeby","https://www.team-rynkeby.se/","cancerforskning,forskning,hjärnforskning","Värmland, Fageråsskolan"
"1230045567","802538-4457","Partiet MoD, Mänskliga rättigheter och Demokrati","https://partietmod.se/","politiskt parti",""
"1230045971","003479-6672","Fredrik D Anderssons Minnesfond","https://fredrikdanderssonsminnesfond.se/","minnesfond",""
"1230052092","802445-5530","Munsö Adelsö Lokala Kennelklubb, MALKK","https://www.malkk.se/","hundsport,kennelklubb",""
"1230052316","802504-6486","Islandshästföreningen Frigg - Islandshäst","https://www.frigg.se/","islandshäst,ridklubb",""
"1230052332","802409-5005","Saltsjöbadens Hembygdsförening","https://saltsjobadenshembygdsforening.se/","hembygdsförening",""
"1230052381","802504-3996","Danderyds SK Friidrottsförening","https://www.dskfri.se/","friidrottsförening,idrottsförening",""
"1230052894","559077-2785","Profiltryckeriet / Training & Events i Östersund AB","https://www.profiltryckeriet.se/","profilkläder",""
"1230052928","814401-1882","Norrtälje Kvinnojour Snäckan","https://kvinnojourennorrtalje.se/","kvinnojour",""
"1230053074","846001-5368","Malmö Civila Ryttareförening, MCR","https://malmocivilaryttare.nu/","hästsport,ridklubb,ryttarförening",""
"1230053587","837600-2245","Åstorpsortens RF - Ridsport","https://www.astorprf.nu/","hästsport,ridklubb","Tävling"
"1230053660","580731-XXXX","Norrlands Kundaliniyoga Center / Maja Tellegård","https://www.norrlandskundaliniyoga.se/","yoga",""
"1230053942","802417-5815","Telegrafverkets Pistolskytteförening / Härlanda Pistolskytteklubb","https://tpsf.se/","pistolskytteklubb",""
"1230054015","252004-1878","Skänninge Församling","https://www.svenskakyrkan.se/folkungabygden/skanninge-kyrka-och-lokal","religion",""
"1230054023","252003-0095","Märsta Pastorat","https://www.svenskakyrkan.se/marsta","religion","Kollekt Husby-Ärlinghundra kyrka"
"1230054106","802488-8003","Sölvesborgs Filmstudio","https://solvesborg.filmstudio.se/","biograf,filmklubb",""
"1230054221","833200-6074","Föreningen Kopparslagaren Galleri","https://kopparslagaren.com/","galleri,konstförening",""
"1230054254","802421-7195","Robertsfors Golfklubb","https://www.robertsforsgk.se/","golfbana,golfklubb",""
"1230054718","879000-2060","Fagersta Södra IK","https://www.laget.se/FSIK/","fotbollsklubb,idrottsförening","P08"
"1230054932","252002-6531","Katolska Pedagogiska Nämnden, KPN","https://kpn.se/","religion",""
"1230055160","802426-0229","Familjen Einhorns Stiftelse","https://einhornfoundation.wordpress.com/","stiftelse",""
"1230055194","802444-9905","Alingsås Krav Maga IF","https://www.kravmagavast.se/","idrottsförening,kampsportsförening,krav maga",""
