#
# Title: Swish 123 Nummer
# Author: Christopher Isene <christopher.isene@gmail.com>
# Date: 2023-11-05-rev-171359
# Source: https://github.com/cisene/swish-123/text/swish-123-datasource.tsv
#
# Legend: Swish-nummer, OrgNr, OrgNamn, Länk, Kategorier, Kommentar
#
entry	orgNumber	orgName	web	categories	comment
1230003194	556323-9663	Kungälv Kode Golfklubb	http://kkgk.se/	golfklubb	
1230004234	802419-7405	Sörmons Hundklubb	https://www.sormonshundklubb.se/	hundklubb,hundsport	
1230004275	889601-3219	Nolaskogs Biståndscenter, NBC	https://www.nbcgottne.se/	hjälporganisation	Hjälpverksamhet
1230004648	802002-8711	Svenska Röda Korset	https://www.rodakorset.se/	donation,hjälporganisation	
1230004655	802002-8711	Svenska Röda Korset	https://www.rodakorset.se/	donation,hjälporganisation	
1230004663	802002-8711	Svenska Röda Korset	https://www.rodakorset.se/	donation,hjälporganisation	
1230004697	802450-2349	Tango Sol	http://www.tangosol.se/	dansundervisning	
1230004945	849000-3574	Långasands Idrottsförening	http://www.langasandsif.com/	idrottsförening	
1230005710	556909-2140	Crossfit Eken / Ekens Sport och Media AB	https://www.crossfiteken.se/	crossfit,träning	
1230007161	650322-XXXX	Crude Boot Company / Malin Schauermann		försäljning,konfektion	
1230007344	530728-XXXX	SkrattYoga / HT Helhetstanken	https://skrattyoga.se/	yoga	
1230007922	802508-1186	Riksföreningen för SLE	https://sle.reumatiker.se/	intresseförening,patientförening,reumatism	
1230008797	556943-2056	Apelviksstrand	https://www.apelvikstrand.se/	logi	
1230008854	802000-2336	Kungliga Automobil Klubben, KAK	https://kak.se/	ideell förening,intresseförening	
1230008912	802418-8313	Väse Framtid	https://www.vaseframtid.se/	hembygdsförening,intresseförening	
1230009019	556800-6893	Ättekulla lunchen / Fortuna Strandkrog / Fortuna by the Sea AB	https://fortunastrandkrog.se/	restaurant	
1230009035	556766-1193	Svenska Spikmattan AB	https://spikmattan.com/	försäljning,utrustning	
1230009357	873200-5551	Alsters Sockens Hembygdsförening	https://www.hembygd.se/alster	hembygdsförening	
1230009381	822001-0626	Linköpings MS - Bilsport	https://idrottonline.se/LinkopingsMS-Bilsport/	motorsport	
1230009563	802414-2492	Väddöbygden Ideell Förening	https://vaddobygden.se/	intresseförening	
1230013300	990226-XXXX	Dina Grundberg	https://www.dinagrundberg.com/	musik,sång	
1230013367	817606-5749	Västanfors IF Fotbollsklubb	https://www.laget.se/VastanforsFotboll/	fotbollsklubb,idrottsförening	
1230013979	802465-1252	Skapande Broderi Stockholm	https://www.skapandebroderi.se/	broderi,intresseförening,textil	
1230017442	813200-3461	Bro-Håbo Brukshundklubb	https://www.bhbk.se/	brukshundsklubb,hundsport	
1230017822	802012-5111	Riksorganisationen för kvinnojourer och tjejjourer i Sverige, ROKS	https://roks.se/	donation,kvinnojour,riksorganisation	
1230018481	802453-2676	Hacksjöbanans SkytteOrganisation, HSO	http://www.hacksjobanan.se/	skytteklubb	
1230018549	252002-8982	Judiska Församlingen Stockholm	https://jfst.se/	religion	
1230018804	802473-8463	Rebeckaloge 116 Charlotta Taube	https://oddfellow.se/hitta/institution?inst=r116	ordensällskap	
1230019513	839400-9545	Stiftelsen Båstadsfontänen	https://www.fhb.nu/	psykisk hälsa,stiftelse	
1230019521	212000-0498	Aneby Bibliotek / Aneby Kommun	https://www.aneby.se/sidor/kultur-fritid-och-turism/biblioteket.html	bibliotek,kultur	
1230020289	802522-4927	Föreningen Gagnefs Bio	https://gagnefsbio.se/	biograf,förening	
1230021444	802526-7868	Team Albert MTB	https://teamalbertmtb.com/	cykelklubb,mountainbike,mountainbikeklubb	
1230037317	559203-6916	Private Training Online, PTO / PTO Group AB	https://privatetrainingonline.se/	träning	
1230038042	802521-2674	Terminologifrämjandet	https://terminologiframjandet.se/	intresseförening,kulturförening,språkgranskning	
1230038356	802016-9176	Giraffernas Vänner	https://giraffernasvanner.se/	event,konferens,mötesrum	
1230038521	802000-5743	City Church International / City Church Stockholm	https://cks.se/	religion	
1230038679	802418-3124	Norrköpings Sportdansare, NOSD	https://www.nosd.se/	danssport	
1230039933	802474-8074	Norra Gotlands Brukshundsklubb	https://ngbk.org/	brukshundsklubb,hundsport	
1230040097	620526-XXXX	LifeTV Sverige / Hillevi Sjögren	https://lifetv.nu/	lokaltelevision,spiritualism	
1230040311	802513-8861	PRO Lindesberg	https://pro.se/distrikt/distrikt-orebro-lan/samorganisationer/samradsgrupp-lindesberg.html	pensionärsklubb	
1230040691	660915-XXXX	Nordebros Trädgård / Kent Haglund	https://nordebrostradgard.weebly.com/	trädgårdsodling,trädgårdsplanering	
1230040899	802006-1688	Frälsningsarmén	https://www.fralsningsarmen.se/norrkoping/		Musikkåren Norrköping
1230041079	252003-8874	Södra Ölands Pastorat	https://www.svenskakyrkan.se/sodraoland	religion	Resmo kyrka
1230045567	802538-4457	Partiet MoD	https://partietmod.se/	politiskt parti	
1230052092	802445-5530	Munsö Adelsö Lokala Kennelklubb, MALKK	https://www.malkk.se/	hundsport,kennelklubb	
1230052316	802504-6486	Islandshästföreningen Frigg - Islandshäst	https://www.frigg.se/	islandshäst,ridklubb	
1230052332	802409-5005	Saltsjöbadens Hembygdsförening	https://saltsjobadenshembygdsforening.se/	hembygdsförening	
1230052381	802504-3996	Danderyds SK Friidrottsförening	https://www.dskfri.se/	friidrottsförening,idrottsförening	
1230052894	559077-2785	Profiltryckeriet / Training & Events i Östersund AB	https://www.profiltryckeriet.se/	profilkläder	
1230053074	846001-5368	Malmö Civila Ryttareförening, MCR	https://malmocivilaryttare.nu/	hästsport,ridklubb,ryttarförening	
1230053587	837600-2245	Åstorpsortens RF - Ridsport	https://www.astorprf.nu/	hästsport,ridklubb	Tävling
1230053660	580731-XXXX	Norrlands Kundaliniyoga Center / Maja Tellegård	http://www.norrlandskundaliniyoga.se/	yoga	
